"category","pizza_name","total_sales","ranking"
Chicken,The Thai Chicken Pizza,43434.25,1
Chicken,The Barbecue Chicken Pizza,42768.0,2
Chicken,The California Chicken Pizza,41409.5,3
Classic,The Classic Deluxe Pizza,38180.5,1
Classic,The Hawaiian Pizza,32273.25,2
Classic,The Pepperoni Pizza,30161.75,3
Supreme,The Spicy Italian Pizza,34831.25,1
Supreme,The Italian Supreme Pizza,33476.75,2
Supreme,The Sicilian Pizza,30940.5,3
Veggie,The Four Cheese Pizza,32265.7,1
Veggie,The Mexicana Pizza,26780.75,2
Veggie,The Five Cheese Pizza,26066.5,3
